pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
220.345,-139.573,180.0,bottom,C1,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1uF,smt
229.532,-144.2212,-90.0,bottom,C2,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
209.0925,-153.25,90.0,bottom,C3,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
225.552,-156.718,0.0,bottom,C4,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,0.1uF,smt
212.555,-140.7125,180.0,bottom,C5,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,10uF,smt
235.2255,-150.241,180.0,bottom,C6,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22pF,smt
235.2001,-147.9042,180.0,bottom,C7,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22pF,smt
220.6244,-80.3148,180.0,bottom,D1,,,SOT-143,PRTR5V0U2X,smt
236.06125,-77.725,90.0,bottom,D10,,,D_SOD-123,D,smt
243.205,-77.725,90.0,bottom,D11,,,D_SOD-123,D,smt
262.255,-77.725,90.0,bottom,D12,,,D_SOD-123,D,smt
281.305,-77.725,90.0,bottom,D13,,,D_SOD-123,D,smt
300.355,-77.725,90.0,bottom,D14,,,D_SOD-123,D,smt
328.93,-77.725,90.0,bottom,D15,,,D_SOD-123,D,smt
357.505,-77.725,90.0,bottom,D16,,,D_SOD-123,D,smt
76.5175,-96.775,90.0,bottom,D17,,,D_SOD-123,D,smt
100.33,-96.775,90.0,bottom,D18,,,D_SOD-123,D,smt
119.38,-96.775,90.0,bottom,D19,,,D_SOD-123,D,smt
71.755,-77.725,90.0,bottom,D2,,,D_SOD-123,D,smt
138.43,-96.775,90.0,bottom,D20,,,D_SOD-123,D,smt
157.48,-96.775,90.0,bottom,D21,,,D_SOD-123,D,smt
176.53,-96.775,90.0,bottom,D22,,,D_SOD-123,D,smt
195.58,-96.775,90.0,bottom,D23,,,D_SOD-123,D,smt
214.63,-96.775,90.0,bottom,D24,,,D_SOD-123,D,smt
233.68,-96.775,90.0,bottom,D25,,,D_SOD-123,D,smt
252.73,-96.775,90.0,bottom,D26,,,D_SOD-123,D,smt
271.78,-96.775,90.0,bottom,D27,,,D_SOD-123,D,smt
290.83,-96.775,90.0,bottom,D28,,,D_SOD-123,D,smt
309.88,-96.775,90.0,bottom,D29,,,D_SOD-123,D,smt
90.805,-77.725,90.0,bottom,D3,,,D_SOD-123,D,smt
333.6925,-96.775,90.0,bottom,D30,,,D_SOD-123,D,smt
357.505,-96.775,90.0,bottom,D31,,,D_SOD-123,D,smt
78.89875,-115.825,90.0,bottom,D32,,,D_SOD-123,D,smt
105.0925,-115.825,90.0,bottom,D33,,,D_SOD-123,D,smt
124.1425,-115.825,90.0,bottom,D34,,,D_SOD-123,D,smt
143.1925,-115.825,90.0,bottom,D35,,,D_SOD-123,D,smt
162.2425,-115.825,90.0,bottom,D36,,,D_SOD-123,D,smt
181.2925,-115.825,90.0,bottom,D37,,,D_SOD-123,D,smt
200.3425,-115.825,90.0,bottom,D38,,,D_SOD-123,D,smt
219.3925,-115.825,90.0,bottom,D39,,,D_SOD-123,D,smt
109.855,-77.725,90.0,bottom,D4,,,D_SOD-123,D,smt
